Phase,H_team,A_team,H_goals,H_OnTarget,H_Corners,H_BallPossession,H_Distance,H_FoulsSuffered,H_Intensity,H_PassAccuracy,H_Diameter,H_Reciprocity,H_MANN,H_Q3HUB,A_goals,A_OnTarget,A_Corners,A_BallPossession,A_Distance,A_FoulsSuffered,A_Intensity,A_PassAccuracy,A_Diameter,A_Reciprocity,A_MANN,A_Q3HUB
G,Paris Saint-Germain,Arsenal FC,1,5,11,0.56,106032,12,13.63636364,0.89298893,7,0.796296296,17.89655172,0.869583107,1,3,7,0.44,107239,10,15.37037037,0.872689938,8,0.754716981,18.0617284,0.622609006
G,FC Basel 1893,PFC Ludogorets Razgrad,1,5,1,0.57,107544,17,12.37837838,0.892592593,8,0.738095238,18.79452055,0.720385036,1,2,0,0.43,105799,26,12.78571429,0.893975904,7,0.680851064,16.52380952,0.691867562
G,FC Dynamo Kyiv,SSC Napoli,1,2,8,0.54,109055,17,13.73529412,0.897003745,7,0.8125,19.3974359,0.667757606,2,2,6,0.46,115257,11,16.89655172,0.913513514,6,0.765957447,22.64615385,0.63409339
G,SL Benfica,Beşiktaş JK,1,6,6,0.47,110301,10,12.19230769,0.799019608,4,0.76,15.19607843,0.840490922,1,5,5,0.53,106083,16,11.72413793,0.815730337,6,0.745098039,15.875,0.872733174
G,FC Barcelona,Celtic FC,7,9,9,0.67,104125,3,13.56818182,0.905080214,7,0.808510638,14.48076923,0.801275541,0,2,2,0.33,102494,8,10.04761905,0.825174825,6,0.634146341,16.58333333,0.662309483
G,Manchester City FC,VfL Borussia Mönchengladbach,4,11,6,0.58,115849,14,12.86111111,0.902985075,6,0.867924528,18.03658537,0.657578438,0,1,6,0.42,114565,7,11.03846154,0.838624339,4,0.78,15.47457627,0.90325113
G,FC Bayern München,FC Rostov,5,8,8,0.72,106275,10,13.40909091,0.906944444,7,0.82,17.63963964,0.687004589,0,2,2,0.28,111908,13,8.8125,0.723214286,5,0.619047619,14.40909091,0.630133755
G,PSV Eindhoven,Club Atlético de Madrid,0,4,2,0.5,109351,10,11.73529412,0.880165289,6,0.717391304,21.62295082,0.706524423,1,3,4,0.5,113724,6,12.97142857,0.893309222,7,0.85106383,18.67816092,0.562313112
G,Bayer 04 Leverkusen,PFC CSKA Moskva,2,9,4,0.62,113268,10,12.15789474,0.830371567,6,0.788461538,20.15584416,0.677669722,2,4,5,0.38,110599,5,10,0.733944954,4,0.734693878,15.44444444,0.785842616
G,Tottenham Hotspur FC,AS Monaco FC,1,5,11,0.58,115072,3,11.67567568,0.863468635,5,0.895833333,23.41071429,0.478659315,2,2,0,0.42,108384,10,7.888888889,0.801980198,6,0.707317073,17.65,0.621996289
G,Real Madrid CF,Sporting Clube de Portugal,2,5,5,0.59,108019,14,13.81081081,0.9,7,0.897959184,15.7079646,0.878614777,1,4,2,0.41,113232,9,12.19230769,0.817073171,5,0.808510638,16.31578947,0.778174646
G,Legia Warszawa,Borussia Dortmund,0,2,8,0.36,105017,8,9.15,0.77480916,4,0.680851064,16.53333333,0.539111322,6,15,7,0.64,108906,11,14.24324324,0.927731092,5,0.84,17.2244898,0.593886095
G,Club Brugge KV,Leicester City FC,0,2,5,0.59,107337,10,11.36111111,0.865784499,5,0.836734694,15.79775281,0.747938934,3,7,4,0.41,108152,7,10.54166667,0.792284866,7,0.595744681,15.825,0.689061967
G,FC Porto,FC København,1,2,6,0.56,109946,11,12.02631579,0.883512545,8,0.775510204,15.60784314,0.845349818,1,2,3,0.44,110430,5,13.1,0.864923747,8,0.588235294,15.09210526,0.844312267
G,Olympique Lyonnais,GNK Dinamo Zagreb,3,10,7,0.55,109152,7,11.21212121,0.900212314,4,0.76,14.65,0.792721353,0,2,6,0.45,107133,9,10.55555556,0.866666667,5,0.693877551,16.74468085,0.668583
G,Juventus Football Club,Sevilla FC,0,4,4,0.51,108765,21,13.1,0.857731959,7,0.729166667,14.96296296,0.706493889,0,1,2,0.49,111305,16,11.44827586,0.824817518,7,0.7,18.26666667,0.74917326
G,AS Monaco FC,Bayer 04 Leverkusen,1,1,6,0.55,105731,13,11.03333333,0.765350877,6,0.711111111,14.74285714,0.727003973,1,3,7,0.45,112330,12,11.04,0.733681462,5,0.711538462,18.21276596,0.788552413
G,PFC CSKA Moskva,Tottenham Hotspur FC,0,2,4,0.35,115873,6,8.652173913,0.703225806,4,0.708333333,14.46808511,0.708877025,1,2,8,0.65,118873,4,12.95348837,0.872944694,7,0.843137255,17.59047619,0.82461857
G,Borussia Dortmund,Real Madrid CF,2,11,6,0.59,113808,10,14.63157895,0.907956318,7,0.78,21.38271605,0.796478479,2,4,6,0.41,105645,15,13.48148148,0.862149533,6,0.754716981,18.29411765,0.732661636
G,Sporting Clube de Portugal,Legia Warszawa,2,5,8,0.55,112604,15,13.51515152,0.890384615,7,0.844444444,15.69767442,0.685480378,0,0,3,0.45,111585,10,10.40740741,0.824,5,0.708333333,19.47368421,0.734720746
G,FC København,Club Brugge KV,4,10,7,0.58,106512,14,13.33333333,0.877159309,6,0.68,16.69230769,0.677250501,0,2,1,0.42,102456,13,10.58333333,0.81626506,5,0.612244898,16.6122449,0.769320848
G,Leicester City FC,FC Porto,1,3,2,0.41,105097,12,10.42857143,0.724590164,5,0.738095238,15.32258065,0.618878504,0,4,6,0.59,106200,22,10.2,0.823394495,6,0.72,14.66129032,0.675191388
G,Sevilla FC,Olympique Lyonnais,1,6,3,0.56,107661,21,12.44827586,0.852017937,4,0.88,21.62068966,0.805270609,0,4,6,0.44,106560,11,10.04347826,0.850694444,6,0.632653061,17.44117647,0.72704769
G,GNK Dinamo Zagreb,Juventus Football Club,0,0,0,0.34,107047,12,9,0.806569343,10,0.479166667,16.59459459,0.570717384,4,6,6,0.66,107847,10,15.69047619,0.918075423,6,0.857142857,15.47651007,0.934912888
G,PFC Ludogorets Razgrad,Paris Saint-Germain,1,4,0,0.41,107654,14,13.85185185,0.870159453,5,0.816326531,17.51515152,0.878334547,3,7,4,0.59,107187,9,17.07692308,0.930201342,6,0.862745098,18.38095238,0.536787138
G,Arsenal FC,FC Basel 1893,2,7,8,0.61,106713,12,16.17948718,0.894594595,8,0.897959184,16.015625,0.889938857,0,3,7,0.39,110387,4,12.28,0.836363636,6,0.729166667,16.23333333,0.603914535
G,Beşiktaş JK,FC Dynamo Kyiv,1,5,10,0.5,105467,19,11.62962963,0.884297521,5,0.708333333,18.63829787,0.949044824,1,4,4,0.5,109503,17,9.653846154,0.835866261,7,0.736842105,14.57777778,0.542829986
G,SSC Napoli,SL Benfica,4,7,6,0.55,115600,17,11.82857143,0.905027933,5,0.688888889,19.20967742,0.560591732,2,3,0,0.45,110935,6,14.21428571,0.88308977,8,0.791666667,17.32352941,0.862497635
G,VfL Borussia Mönchengladbach,FC Barcelona,1,1,2,0.38,118299,10,13,0.836879433,8,0.760869565,16.47692308,0.864070582,2,8,5,0.62,112177,8,13.26190476,0.896341463,7,0.70212766,16.95918367,0.609139184
G,Celtic FC,Manchester City FC,3,3,4,0.43,110329,6,10.16,0.787172012,5,0.591836735,15.69047619,0.485896074,3,9,9,0.57,110354,8,13.51515152,0.848987109,8,0.936170213,18.36585366,0.891679618
G,Club Atlético de Madrid,FC Bayern München,1,5,4,0.37,116515,17,10.45454545,0.76433121,4,0.510204082,16.73529412,0.516792443,0,4,6,0.63,108043,13,13.61538462,0.8890625,8,0.791666667,15.19672131,0.901240386
G,FC Rostov,PSV Eindhoven,2,4,4,0.53,113746,10,11.58064516,0.867298578,6,0.755102041,17.47222222,0.625811725,2,4,3,0.47,108299,12,9.888888889,0.853658537,6,0.844444444,17.60465116,0.752046891
