Pid,Player,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,PC_Total,PA_Total
P1,Keylor Navas,0,2,6,3,0,1,0,2,0,0,1,1,0,0,16,20
P2,Dani Carvajal,2,0,4,10,4,3,2,1,4,13,6,1,2,0,52,54
P3,Sergio Ramos,2,2,0,3,0,16,0,22,7,2,3,1,1,0,59,64
P4,Raphaël Varane,0,9,14,0,2,4,0,0,8,6,1,0,2,0,46,51
P5,Cristiano Ronaldo,0,2,2,2,0,5,0,0,2,1,3,0,0,0,17,19
P6,Toni Kroos,1,5,5,2,5,0,7,10,10,10,14,0,0,0,69,75
P7,Karim Benzema,0,2,0,0,3,4,0,4,2,0,4,0,0,0,19,22
P8,Marcelo,0,0,5,1,4,10,7,0,6,4,11,3,1,0,52,58
P9,Casemiro,2,10,9,8,0,6,1,4,0,6,9,0,0,0,55,59
P10,Luka Modric,0,13,8,4,5,8,2,4,5,0,6,0,0,0,55,60
P11,Isco,0,3,2,3,3,6,6,9,3,9,0,0,0,0,44,50
P12,Gareth Bale,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,3
P13,Marco Asensio,0,3,0,0,0,0,0,0,0,1,0,0,0,0,4,6
P14,Álvaro Morata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
