ID;answer
1;University of Veterinary Medicine
2;University 
3;University - Informatics
4;University 
5;I would like to enroll in a physics or aerospace engineering degree program 
6;either University or specialized courses aimed at web development
7;Master
8;I would like to do a master's degree, preferably abroad.
9;Job
10;Enrolling in Medicine 
11;mathematics
12;I would like to enroll in University , biomedical engineering. 
13;Study engineering at university . Gain experience abroad and then stay abroad or return
14;I would like to study medicine, it would mean fulfilling a lifelong dream
15;University of medicine
16;I would like to do University 
17;Medical degree course 
18;I would like to go to medical school and then specialize in pediatrics 
19;I'm not sure, but almost certainly major in neuropsychiatry! (if all goes well)
20;I would like to continue my education, by taking a degree in physics 
21;I would like to enroll in college to study computer science and technology.
22;Enrolling medicine 
23;I would like to enroll in University but I am not sure what path to take yet.
24;University (medicine)
25;Enrolling in University 
26;Medicine 
27;Enrolling in the Bachelor of Biotechnology/Biomedical...
28;Enrolling in University 
29;Graduating and investing money 
30;I would like to continue my studies at University 
31;Definitely go to university even if I don't know precisely which path I want to take my current idea would be to do biology
32;I haven't decided yet, I just know that I want a smooth life.... 
33;I would like to go to university and I would like to get a degree in engineering. 
34;I would like to pursue a scientific course of study and then join the Italian Police Scientific Support Unit (RIS)
35;I would like to undertake medical studies and specialize in surgery
36;After graduation I would like to go to University and take a degree in chemical engineering
37;Go to University and graduate
38;Enroll in University and then start building my career 
39;University 
40;I would like to go to University and join the police force
41;Get a degree in aerospace engineering
42;After finishing high school I would definitely want to go to University and take a math class.
43;Attending University 
44;I think I have come to the conclusion that I would like to pursue studies in science, particularly engineering, aerospace or robotics, or physics.
45;I would like to attend medical university
46;Attend University 
47;Medicine
48;Medicine
49;my dream would be to become an airline pilot, but if I couldn't pursue this dream, I would probably opt for some science related faculty. 
50;Enrolling in University 
51;I would like to enroll in University and undertake medical studies
52;University of Medicine 
53;University of Physics, specialization in Particle Physics 
54; I would like to go to medical school, pass the test and all the years of study that will follow, graduate, become a doctor and specialize.
55;Undertake a course of study to graduate in biological engineering
56;To face university studies that will allow me to do jobs that I can like, preferably jobs that allow a lot of travel around the world.
57;After graduation I would definitely like to attend university. I am very much inclined towards the physical therapy course. 
58;I would like to enter medicine, and then hope to become a dentist or oncologist.
59;After graduation I would like to continue my studies at the University. 
60;Take a math or physics course abroad
