rip_geog,ateco2007,forma_giu,anno,unit_loc,gruppo,PER_tot,PER_dir,PER_qua,PER_imp,PER_ope,DIP_dic13,PER_indet,PER_deter,PER_appre,PER_chiam,DIP_TemPar_tot,DIP_TemPar_indet,DIP_TemPar_term,ORE14,FAT14
1,Fabbricazione di componenti elettronici,13,1988,13,3,9775,231,1017,5988,2539,9464,9681,94,0,0,409,409,0,13708631,1342937682
2,Supermercati,13,1981,225,2,7080,20,77,1931,5052,6658,6242,838,0,0,2825,2825,0,9173153,1718052
1,Commercio al dettaglio di mobili per la casa,13,1995,21,2,6402,43,177,5910,272,6129,5492,638,272,0,4164,3564,600,7672898,1589091787
1,Fabbricazione di autoveicoli,13,1975,13,2,6146,127,1527,702,3790,7447,6141,5,0,0,147,147,0,10352158,4443902025
4,Villaggi turistici,13,2003,9,1,6098,0,30,458,5610,109,56,6026,1,15,1829,3,1826,1029354,55121399
4,Fabbricazione di autoveicoli,13,1978,0,2,6092,8,85,360,5639,6092,6013,79,0,0,117,117,0,8682798,3173527178
2,Intermediazione monetaria di istituti monetari diverse dalle Banche centrali,13,2000,559,2,5920,78,2629,3213,0,6365,5796,33,91,0,657,657,0,9117907,1579517718
3,"Gestione di strade, ponti, gallerie",13,2003,11,1,5873,96,325,4484,968,5769,5515,327,31,0,740,666,74,8716459,3245490000
1,"Commercio al dettaglio in esercizi non specializzati di computer, periferiche, attrezzature per le t",13,1990,111,2,5822,30,184,5599,9,6799,5762,51,9,0,1788,1764,24,9600000,2093000000
1,"Fabbricazione di aeromobili, di veicoli spaziali e dei relativi dispositivi",13,2000,13,1,5675,158,468,3283,1766,6017,5629,0,46,0,43,43,0,10267884,2929837964
1,Attivit? dei call center,13,2005,10,1,5168,27,55,5083,3,4282,5134,31,3,0,3256,3236,20,5553155,233072398
2,Mense,13,1984,0,3,4925,0,34,283,4608,4518,4684,75,143,23,4053,4009,44,5152285,221000000
1,Altri trasporti terrestri di passeggeri nca,13,2003,48,3,4878,17,32,1205,3624,5094,4878,0,0,0,235,235,0,7585320,382137665
1,Fabbricazione di pneumatici e di camere d'aria,13,1906,4,2,4324,52,306,711,3255,4376,4222,102,0,0,439,364,75,7187817,1732656080
1,Commercio all'ingrosso non specializzato,13,1999,44,2,4294,44,198,3975,77,3911,3863,354,77,0,1576,1246,330,7900000,1717950000
1,"Commercio al dettaglio di tessuti per l'abbigliamento, l'arredamento e di biancheria per la casa",13,2009,830,1,4064,20,82,3896,66,4425,3449,551,64,0,2106,1655,451,5562695,445616955
2,Supermercati,13,1980,105,1,3741,19,64,3573,85,3753,3390,287,64,0,1489,1356,133,5114558,947519478
1,Intermediazione monetaria di istituti monetari diverse dalle Banche centrali,13,2003,356,1,3666,40,1691,1935,0,3711,3577,80,9,0,378,378,0,5791632,794157000
3,Fabbricazione di motocicli e motoveicoli (inclusi i motori),13,1985,8,3,3646,76,237,890,2443,3780,3638,7,1,0,413,411,2,4812000,716426000
3,"Fabbricazione di articoli da viaggio, borse e simili, pelletteria e selleria",13,1990,38,1,3529,102,275,1768,1384,3202,3374,148,6,1,57,57,0,75000000,2208000000
3,Trasmissione di energia elettrica,13,2004,102,1,3440,66,523,1893,958,3442,3385,1,54,0,30,30,0,5688510,1871622706
1,Intermediazione monetaria di istituti monetari diverse dalle Banche centrali,13,1917,374,2,3258,139,1711,1408,0,3365,3258,0,0,0,240,240,0,4886671,1162230384
3,Trasporto terrestre di passeggeri in aree urbane e suburbane,13,2000,63,3,3216,11,73,270,2862,3223,3216,0,0,0,19,19,0,5245622,303945615
1,Trattamento e smaltimento di rifiuti non pericolosi; produzione di compost,13,2007,4,1,3188,10,45,488,2645,3291,3053,134,1,0,22,19,3,4964000,319801371
2,Supermercati,13,1975,103,1,3183,3,21,142,3017,0,2557,52,574,0,633,625,8,4961768,893937242
4,Pulizia generale (non specializzata) di edifici,13,2004,1,3,3049,1,11,22,3015,2603,2954,91,4,0,2188,2097,91,2493000,55638
2,Costruzione di edifici residenziali e non residenziali,13,1975,37,1,3027,60,70,1417,1480,3454,2673,324,30,0,0,0,0,5400000,100000000
1,Fabbricazione di cuscinetti a sfere,13,1980,8,2,2961,125,341,590,1905,3707,2945,8,8,0,103,103,0,4777533,875309259
3,Trasmissione di energia elettrica,13,2012,96,1,2893,31,343,1560,959,3056,2838,2,53,0,15,15,0,5076455,394853687
1,Trasporto terrestre di passeggeri in aree urbane e suburbane,13,1999,27,1,2859,28,229,574,2028,2820,2790,69,0,0,43,43,0,4496511,426925749
1,Trasporto terrestre di passeggeri in aree urbane e suburbane,13,1998,27,1,2859,28,229,574,2028,2820,2790,69,0,0,43,43,0,4596511,426925749
2,"Commercio al dettaglio di articoli di profumeria, prodotti per toletta e per l'igiene personale",13,1992,459,1,2845,3,11,2822,9,2281,1621,1171,53,0,825,337,488,3728612,610105183
3,Supermercati,13,2007,75,1,2786,11,18,2757,0,2690,2569,198,19,0,1207,1043,164,3569000,700000000
1,Servizi di vigilanza privata,13,2004,33,1,2762,2,11,93,2656,1980,1981,690,91,0,290,290,0,43242015,182685094
1,Intermediazione monetaria di istituti monetari diverse dalle Banche centrali,13,2006,323,1,2750,27,723,1991,9,2713,2703,13,34,0,0,0,0,4975584,54406052
2,Trasporto terrestre di passeggeri in aree urbane e suburbane,13,1971,0,1,2749,5,33,326,2385,2747,2515,234,0,0,76,62,14,4488889,217652109
4,Trasporto terrestre di passeggeri in aree urbane e suburbane,13,1995,30,1,2731,12,75,375,2269,2891,2731,0,0,0,12,12,0,4781092,189045033
1,Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità,13,1936,20,2,2697,57,115,1179,1346,2817,2697,0,0,0,202,202,0,4233532,724169075
1,Confezione in serie di abbigliamento esterno,13,1996,71,3,2630,49,126,1676,779,2229,2051,508,69,2,125,95,30,3923945,812087920
2,Pulizia generale (non specializzata) di edifici,13,1990,7,3,2514,0,5,44,2465,2254,2410,104,0,0,2418,2325,93,1256318,24100702
1,Fabbricazione di altre parti ed accessori per autoveicoli e loro motori,13,2001,3,2,2429,65,199,300,1865,2326,2407,22,0,0,76,76,0,578,522556000
4,Fabbricazione di poltrone e divani,13,1977,1,3,2399,46,85,485,1783,2399,2389,10,0,0,13,13,0,20000,453963320
4,Altre attività dei servizi connessi alle tecnologie dell'informatica,13,2001,4,1,2322,5,17,2300,0,2402,2322,0,0,0,2042,2042,0,2486820,72093000
3,Discount di alimentari,13,1994,272,1,2256,13,23,1950,270,2242,1818,135,303,0,1041,939,102,3055518,727018986
1,Trasporto terrestre di passeggeri in aree urbane e suburbane,13,1999,5,3,2249,9,30,242,1968,2343,2249,0,0,0,11,11,0,32000000,5656745127
3,Mense,13,2004,220,1,2199,0,5,136,2058,2758,2183,1,15,0,1877,1876,1,2561336,138979903
1,"Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria (inclusa manute",13,1971,0,2,2138,25,103,665,1345,2389,2075,63,0,0,100,100,0,5000000,700000000
1,Intermediazione monetaria di istituti monetari diverse dalle Banche centrali,13,1991,5,1,1969,74,276,1619,0,1802,1740,38,191,0,29,29,0,1720170,576347289
2,"Fabbricazione di macchine da miniera, cava e cantiere (incluse parti e accessori)",13,1937,1,3,1946,18,24,444,1460,2270,1923,23,0,0,8,8,0,296500892,32912490
4,Fabbricazione di altre parti ed accessori per autoveicoli e loro motori,13,1996,1,2,1923,19,39,314,1551,1995,1920,0,3,0,34,34,0,3200000,311876000
2,"Commercio al dettaglio di orologi, articoli di gioielleria e argenteria",13,1996,368,1,1911,8,17,164,1722,1831,1543,267,101,0,1197,957,240,2292494,264517870
1,Fabbricazione di altre parti ed accessori per autoveicoli e loro motori,13,1989,4,2,1899,30,84,316,1469,1927,1895,4,0,0,56,56,0,3021303,329934243
2,Intermediazione monetaria di istituti monetari diverse dalle Banche centrali,13,2000,165,1,1865,5,687,1173,0,1901,1865,0,0,0,365,365,0,2603385,15336565
1,Intermediazione monetaria di istituti monetari diverse dalle Banche centrali,13,2012,348,1,1819,9,553,1257,0,1910,1815,1,3,0,166,166,0,2739000,349036
1,Commercio all'ingrosso non specializzato,13,1948,48,1,1808,51,143,997,617,1795,1729,73,6,0,267,223,44,1801120,540086766
2,Trattamento igienico del latte,13,2005,27,2,1805,58,149,800,798,1557,1712,93,0,0,88,85,3,2776387,861507723
4,"Commercio al dettaglio di articoli di profumeria, prodotti per toletta e per l'igiene personale",13,1992,185,1,1784,0,1,204,1579,1575,1366,418,0,0,212,181,31,2442746,332633816
1,Supermercati,13,1972,17,1,1777,10,31,1732,4,1828,1761,12,4,0,985,975,10,2762267,406258338
1,Fabbricazione di altre parti ed accessori per autoveicoli e loro motori,13,1994,6,2,1650,17,136,211,1286,3110,1650,0,0,0,15,15,0,1938600,185019304
1,Raccolta di rifiuti solidi non pericolosi,13,1989,35,3,1625,4,8,104,1509,2166,1507,118,0,0,47,47,0,2934012,138342583
2,Fabbricazione di altre macchine utensili (incluse parti e accessori),13,1962,10,1,1611,29,40,712,830,1719,1605,6,0,0,29,29,0,2143638,278505761
3,Altra stampa,13,1928,11,3,1602,23,32,832,715,1790,1538,2,62,0,11,11,0,2750700,356066277
3,Pulizia generale (non specializzata) di edifici,13,1985,20,3,1593,0,4,12,1577,1480,1559,34,0,0,1457,1457,0,168193,51200083
1,Raccolta di rifiuti solidi non pericolosi,13,1986,31,1,1569,7,7,272,1283,1552,1553,16,0,0,117,107,10,2381620,139038301
2,Catering continuativo su base contrattuale,13,1996,194,3,1562,0,12,96,1454,1564,1364,191,7,0,1317,1145,172,1376861,60467091
1,Confezione in serie di abbigliamento esterno,13,1989,13,1,1543,16,34,202,1291,1524,1478,65,0,0,87,76,11,2343721,191659518
1,Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità,13,1960,18,2,1540,77,185,929,349,1519,1537,3,0,0,45,45,0,23369,515588695
1,"Commercio al dettaglio di ferramenta, vernici, vetro piano e materiale elettrico e termoidraulico",13,2007,53,2,1530,10,58,1458,4,1795,1425,101,4,0,644,576,68,239451103,272894902
4,Attività dei call center,13,2001,3,3,1520,0,2,1258,260,975,1271,7,242,0,1111,1105,6,1467944,37653840
1,Commercio al dettaglio di giochi e giocattoli (inclusi quelli elettronici),13,2001,401,2,1505,7,19,1446,33,2018,1324,181,0,0,952,782,170,2065252,341066696
1,Confezione in serie di abbigliamento esterno,13,1985,35,2,1501,59,111,621,710,1393,1388,92,21,0,88,76,12,2327635,505502189
1,Attività delle agenzie di fornitura di lavoro temporaneo (interinale),13,1992,20,3,1485,1,6,740,738,1750,479,974,32,0,525,160,365,784156,51006676
2,Fabbricazione di piastrelle in ceramica per pavimenti e rivestimenti,13,1976,4,2,1468,32,59,449,928,1482,1459,9,0,0,26,26,0,2250000,480000000
3,Fabbricazione di medicinali e preparati farmaceutici,13,1948,4,1,1460,62,259,760,379,1378,1353,107,0,0,33,33,0,2193879,485327624
4,Attività delle agenzie di fornitura di lavoro temporaneo (interinale),13,2005,4,3,1433,0,1,282,1150,221,137,1296,0,0,219,4,215,1307946,23244297
